Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,10825.000000,10850.000000,10750.000000,10775.000000,10775.000000,5096600
2020-02-17,10750.000000,10925.000000,10725.000000,10850.000000,10850.000000,3487400
2020-02-18,10850.000000,10950.000000,10825.000000,10850.000000,10850.000000,5428000
2020-02-19,10950.000000,11000.000000,10800.000000,11000.000000,11000.000000,3665500
2020-02-20,11025.000000,11375.000000,11000.000000,11225.000000,11225.000000,5472600
2020-02-21,11225.000000,11275.000000,10925.000000,10950.000000,10950.000000,4520700
2020-02-24,10750.000000,11125.000000,10750.000000,11025.000000,11025.000000,2871700
2020-02-25,11000.000000,11075.000000,10875.000000,10975.000000,10975.000000,3213600
2020-02-26,10900.000000,10925.000000,10775.000000,10825.000000,10825.000000,4142700
2020-02-27,10750.000000,10825.000000,10350.000000,10550.000000,10550.000000,5781400
2020-02-28,10100.000000,10450.000000,9900.000000,10275.000000,10275.000000,12019600
2020-03-02,10275.000000,10275.000000,9975.000000,10150.000000,10150.000000,6373100
2020-03-03,10650.000000,11125.000000,10475.000000,10950.000000,10950.000000,7187600
2020-03-04,10975.000000,11000.000000,10750.000000,10950.000000,10950.000000,4640300
2020-03-05,11025.000000,11075.000000,10800.000000,10950.000000,10950.000000,6386500
2020-03-06,10750.000000,11000.000000,10750.000000,10950.000000,10950.000000,5805700
2020-03-09,10700.000000,10700.000000,10350.000000,10375.000000,10375.000000,4459700
2020-03-10,10300.000000,11000.000000,10300.000000,10775.000000,10775.000000,4665700
2020-03-11,10775.000000,10950.000000,10450.000000,10950.000000,10950.000000,5798300
2020-03-12,10775.000000,10950.000000,10500.000000,10525.000000,10525.000000,4114900
2020-03-13,10525.000000,11100.000000,9800.000000,10975.000000,10975.000000,9473800
2020-03-16,10825.000000,10925.000000,10325.000000,10400.000000,10400.000000,6384200
2020-03-17,10400.000000,10500.000000,9700.000000,9750.000000,9750.000000,8147300
2020-03-18,9875.000000,9950.000000,9075.000000,9325.000000,9325.000000,6285700
2020-03-19,9100.000000,9100.000000,8675.000000,8850.000000,8850.000000,7344600
2020-03-20,9000.000000,9700.000000,8300.000000,8975.000000,8975.000000,16501400
2020-03-23,8950.000000,8950.000000,8350.000000,8350.000000,8350.000000,4901900
2020-03-24,8300.000000,9050.000000,8125.000000,8300.000000,8300.000000,10642400
2020-03-26,8525.000000,9900.000000,8325.000000,9500.000000,9500.000000,14307800
2020-03-27,9500.000000,10350.000000,9500.000000,9975.000000,9975.000000,6618600
2020-03-30,9950.000000,10100.000000,9300.000000,9650.000000,9650.000000,4572400
2020-03-31,9650.000000,10700.000000,9650.000000,10225.000000,10225.000000,10710300
2020-04-01,10200.000000,10475.000000,9900.000000,10150.000000,10150.000000,4606400
2020-04-02,10100.000000,10300.000000,9800.000000,10200.000000,10200.000000,7811800
2020-04-03,10200.000000,10300.000000,9925.000000,10000.000000,10000.000000,4190800
2020-04-06,10100.000000,10300.000000,9950.000000,10250.000000,10250.000000,5343900
2020-04-07,10350.000000,10600.000000,9875.000000,10075.000000,10075.000000,6342100
2020-04-08,10100.000000,10200.000000,9575.000000,9600.000000,9600.000000,7488000
2020-04-09,9600.000000,10125.000000,9600.000000,10100.000000,10100.000000,5938100
2020-04-13,10100.000000,10300.000000,10050.000000,10200.000000,10200.000000,3225000
2020-04-14,10200.000000,10350.000000,10100.000000,10350.000000,10350.000000,4600800
2020-04-15,10350.000000,10350.000000,9900.000000,10175.000000,10175.000000,3361900
2020-04-16,10175.000000,10175.000000,9900.000000,9900.000000,9900.000000,5543800
2020-04-17,10000.000000,10300.000000,10000.000000,10200.000000,10200.000000,6244900
2020-04-20,10300.000000,10300.000000,10025.000000,10075.000000,10075.000000,5211200
2020-04-21,10075.000000,10200.000000,9975.000000,9975.000000,9975.000000,2472900
2020-04-22,10000.000000,10175.000000,9975.000000,10025.000000,10025.000000,4752000
2020-04-23,10175.000000,10250.000000,10050.000000,10150.000000,10150.000000,5175900
2020-04-24,10200.000000,10200.000000,9900.000000,9900.000000,9900.000000,6779300
2020-04-27,9900.000000,10050.000000,9750.000000,9925.000000,9925.000000,3587100
2020-04-28,9900.000000,10050.000000,9900.000000,10025.000000,10025.000000,3350600
2020-04-29,10050.000000,10100.000000,9900.000000,10000.000000,10000.000000,3956900
2020-04-30,10050.000000,10150.000000,9875.000000,9875.000000,9875.000000,7794500
2020-05-04,9875.000000,9900.000000,9700.000000,9700.000000,9700.000000,5036700
2020-05-05,9850.000000,9850.000000,9700.000000,9750.000000,9750.000000,2481700
2020-05-06,9775.000000,9875.000000,9650.000000,9675.000000,9675.000000,5417100
2020-05-08,9700.000000,9775.000000,9550.000000,9625.000000,9625.000000,7505800
2020-05-11,9725.000000,9825.000000,9700.000000,9750.000000,9750.000000,3409000
2020-05-12,9750.000000,9800.000000,9625.000000,9750.000000,9750.000000,10015800
2020-05-13,9750.000000,9775.000000,9600.000000,9650.000000,9650.000000,3462800
2020-05-14,9675.000000,9975.000000,9600.000000,9725.000000,9725.000000,7272200
2020-05-15,9800.000000,9900.000000,9700.000000,9700.000000,9700.000000,6164400
2020-05-18,9700.000000,9825.000000,9625.000000,9725.000000,9725.000000,3533300
2020-05-19,9800.000000,9950.000000,9800.000000,9900.000000,9900.000000,6299300
2020-05-20,9800.000000,9900.000000,9350.000000,9600.000000,9600.000000,11973600
2020-05-26,9600.000000,9600.000000,8950.000000,8950.000000,8950.000000,10324600
2020-05-27,8700.000000,8700.000000,8325.000000,8325.000000,8325.000000,13319000
2020-05-28,8075.000000,8575.000000,7750.000000,8325.000000,8325.000000,204450600
2020-05-29,8350.000000,8500.000000,8150.000000,8150.000000,8150.000000,61130900
2020-06-02,8250.000000,8550.000000,8250.000000,8475.000000,8475.000000,39990400
2020-06-03,8600.000000,8800.000000,8400.000000,8500.000000,8500.000000,38866800
2020-06-04,8525.000000,8700.000000,8500.000000,8500.000000,8500.000000,28171800
2020-06-05,8525.000000,8625.000000,8400.000000,8625.000000,8625.000000,13685700
2020-06-08,8725.000000,9000.000000,8700.000000,8775.000000,8775.000000,24469300
2020-06-09,8850.000000,8975.000000,8800.000000,8900.000000,8900.000000,21394700
2020-06-10,8800.000000,8900.000000,8625.000000,8650.000000,8650.000000,15356000
2020-06-11,8575.000000,8750.000000,8450.000000,8600.000000,8600.000000,11516100
2020-06-12,8600.000000,8625.000000,8200.000000,8600.000000,8600.000000,15411500
2020-06-15,8600.000000,8800.000000,8575.000000,8700.000000,8700.000000,12064600
2020-06-16,8700.000000,8900.000000,8700.000000,8875.000000,8875.000000,9437600
2020-06-17,8875.000000,9000.000000,8875.000000,8950.000000,8950.000000,7449300
2020-06-18,8900.000000,8975.000000,8750.000000,8750.000000,8750.000000,6346200
2020-06-19,8700.000000,8925.000000,8675.000000,8925.000000,8925.000000,6381100
2020-06-22,8925.000000,9250.000000,8900.000000,9100.000000,9100.000000,15587900
2020-06-23,9150.000000,9150.000000,8925.000000,8925.000000,8925.000000,12104800
